 0 1 2 3 4 5
1176820755 0 0 0 0 0 0
1176822393 0 0 0 0 1 0
1176824031 0 0 0 0 1 0
1176825670 0 0 0 0 0 0
1176827308 0 0 0 0 1 0
1176828947 0 0 0 0 1 0
1176830585 0 0 0 0 1 0
1176832223 0 0 0 0 0 0
1176833862 0 0 0 0 0 1
1176835500 0 0 0 0 0 1
1176837139 0 0 0 0 0 0
1176838777 1 0 0 0 0 0
1176840415 0 0 0 0 0 1
1176842054 1 0 0 0 0 0
1176843692 0 0 0 0 0 0
1176845331 0 0 0 0 1 0
1176846969 0 0 0 0 1 0
1176848607 0 0 0 0 1 1
1176850246 0 0 0 0 1 0
1176851884 0 0 0 0 1 0
1176853523 0 0 0 0 0 0
1176855161 0 0 0 0 1 0
1176856799 0 0 0 0 0 0
1176858438 0 0 0 0 0 0
1176860076 0 0 0 0 0 0
1176861715 0 0 0 0 0 0
1176863353 0 0 0 1 0 0
1176864991 0 0 0 0 0 0
1176866630 0 0 0 0 1 0
1176868268 0 0 0 0 0 0
1176869907 0 0 0 0 1 0
1176871545 0 0 0 0 1 0
1176873183 0 0 0 0 0 0
1176874822 0 0 0 0 0 0
1176876460 1 0 0 0 0 0
1176878099 0 0 0 0 0 0
1176879737 0 0 0 0 0 0
1176881375 0 0 0 0 1 0
1176883014 0 0 0 0 0 0
1176884652 0 0 0 0 0 0
1176886291 0 0 0 0 1 0
1176887929 0 0 0 0 0 0
1176889567 0 0 0 0 0 0
1176891206 0 0 0 0 1 0
1176892844 0 0 0 0 2 0
1176894483 0 0 0 0 1 0
1176896121 0 0 0 0 0 0
1176897759 0 0 0 0 1 0
1176899398 0 0 0 0 1 0
1176901036 2 0 0 0 1 1
1176902675 0 0 0 0 0 0
1176904313 0 0 0 0 0 0
1176905951 0 0 0 0 2 0
1176907590 1 0 0 0 0 0
1176910428 3 0 0 0 1 0
1176912067 0 0 0 0 2 0
1176913705 0 0 0 0 0 0
1176915344 0 0 0 0 0 0
1176916982 0 0 0 0 1 0
1176918620 0 0 0 0 0 0
1176920259 0 0 0 0 1 0
1176921897 0 0 0 0 0 0
1176923536 0 0 0 0 1 0
1176925174 0 0 0 0 0 0
1176926812 0 0 0 0 1 1
1176928451 0 0 0 0 0 0
1176930089 0 0 0 0 1 0
1176931728 0 0 0 0 0 1
1176933366 0 0 0 0 0 0
1176935004 0 0 0 0 1 0
1176936643 0 0 0 0 2 0
1176938281 1 0 0 0 1 0
1176939920 0 0 0 0 0 0
1176941558 1 0 0 0 0 0
1176943196 1 0 0 0 1 0
1176944835 0 0 0 0 0 0
1176946473 0 0 1 0 0 0
1176948112 2 0 0 0 0 0
1176949750 1 0 0 0 1 0
1176951388 0 0 0 0 0 0
1176953027 0 0 0 0 0 0
1176954665 2 0 0 0 1 0
1176956304 0 0 0 0 0 0
1176957942 0 0 0 0 0 0
1176959580 0 0 0 0 1 0
1176961219 0 0 0 0 1 0
1176962857 0 0 0 0 3 1
1176964496 0 0 0 0 1 1
1176966134 0 0 0 0 0 0
1176967772 0 0 0 0 1 0
1176969411 0 0 0 0 0 0
1176971049 1 0 0 0 0 0
1176972688 0 0 0 0 1 0
1176974326 0 0 0 0 1 0
1176975964 0 0 0 0 0 0
1176977603 1 0 0 0 1 0
1176979241 0 0 0 0 1 0
1176980880 0 0 0 0 0 0
1176982518 3 0 0 0 2 0
1176984156 1 0 0 0 0 0
1176985795 0 0 0 0 1 0
1176987433 0 0 0 0 0 0
1176989072 0 0 0 0 0 0
1176990710 0 0 0 0 0 0
1176992348 0 0 0 0 1 0
1176993987 0 0 0 0 0 0
1176995625 0 0 0 0 0 0
1176997264 0 0 0 0 0 0
1176998902 0 0 0 0 1 0
1177000540 0 0 0 0 0 0
1177002179 1 0 0 0 1 0
1177003817 0 0 0 0 0 0
1177005456 0 0 0 0 1 0
1177007094 0 0 0 0 0 0
1177009932 0 0 0 0 0 0
1177011571 0 0 0 0 0 0
1177013209 0 0 0 0 0 0
1177014848 0 0 0 0 1 0
1177016486 0 0 0 0 1 0
1177018124 0 0 0 0 1 0
1177019763 0 0 0 0 2 0
1177021401 0 0 0 0 1 0
1177023040 0 0 0 0 1 0
1177024678 0 0 0 0 0 0
1177026316 0 0 0 0 0 0
1177027955 0 0 0 0 0 0
1177029593 0 0 0 0 0 1
1177031232 0 0 0 0 1 0
1177032870 0 0 0 0 1 0
1177034508 0 0 0 0 0 0
1177036147 0 0 1 0 1 0
1177037785 0 0 0 0 1 0
1177039424 2 0 0 0 0 0
1177041062 0 0 0 0 1 0
1177042700 0 0 0 0 0 0
1177044339 0 0 0 0 1 0
1177045977 1 0 0 0 0 0
1177047616 0 0 0 0 1 0
1177049254 0 0 0 0 0 0
1177050892 0 0 0 0 2 0
1177052531 1 0 0 0 0 0
1177054169 0 0 0 0 1 0
