 x y z θ η ϕ
1159724317 0 0 0 0 0 0
1159725956 0 0 0 0 0 0
1159727594 0 0 0 0 0 0
1159729233 0 0 0 0 0 0
1159730871 0 0 0 0 0 0
1159732509 0 0 0 0 0 0
1159734148 0 0 0 0 0 0
1159735786 0 0 0 0 0 0
1159737425 0 0 0 0 0 1
1159739063 0 0 0 0 0 0
1159740701 0 0 0 0 0 0
1159742340 0 0 0 0 0 0
1159743978 0 0 0 0 0 0
1159745617 0 0 0 0 0 1
1159747255 0 0 0 0 0 0
1159748893 0 0 0 0 0 0
1159750532 0 0 0 0 0 0
1159752170 0 0 0 0 0 0
1159753809 0 0 0 0 0 0
1159755447 0 0 0 0 0 0
1159757085 0 0 0 0 0 0
1159758724 0 0 0 0 0 0
1159760362 0 0 0 0 0 0
1159762001 0 0 0 0 0 0
1159763639 0 0 0 0 0 0
1159765277 0 0 0 0 0 0
1159766916 0 0 0 0 0 0
1159768554 0 0 0 0 0 0
1159770193 0 0 0 0 0 0
1159771831 0 0 0 0 0 0
1159773469 0 0 0 0 0 0
1159775108 0 0 0 0 0 0
1159776746 0 0 0 0 0 0
1159778385 0 0 0 0 0 0
1159780023 0 0 0 0 0 0
1159781661 0 0 0 0 0 0
1159783300 0 0 0 0 0 0
1159784938 0 0 0 0 0 0
1159786577 0 0 0 0 0 0
1159788215 0 0 0 0 0 0
1159789853 0 0 0 0 0 0
1159791492 0 0 0 0 0 0
1159793130 0 0 0 0 0 0
1159794769 0 0 0 0 0 0
1159796407 0 0 0 0 0 0
1159798045 0 0 0 0 0 0
1159799684 0 0 0 0 0 0
1159801322 0 0 0 0 0 0
1159802961 0 0 0 0 0 0
1159804599 0 0 0 0 0 0
1159806237 0 0 0 0 0 0
1159807876 0 0 0 0 0 0
1159809514 0 0 0 0 0 0
1159811153 0 0 0 0 0 0
1159812791 0 0 0 0 0 0
1159814429 0 0 0 0 0 0
1159816068 0 0 0 0 0 0
1159817706 0 0 0 0 0 0
1159819345 0 0 0 0 0 0
1159820983 0 0 0 0 0 0
1159822621 0 0 0 0 0 0
1159824260 0 0 0 0 0 0
1159825898 0 0 0 0 0 0
1159827537 0 0 0 0 0 0
1159829175 0 0 0 0 0 0
1159830813 0 0 0 0 0 0
1159832452 0 0 0 0 0 0
1159834090 0 0 0 0 0 0
1159835729 0 0 0 0 0 0
1159837367 0 0 0 0 0 0
1159839005 0 0 0 0 0 0
1159840644 0 0 0 0 0 0
1159842282 0 0 0 0 0 0
1159843921 0 0 0 0 0 0
1159845559 0 0 0 0 0 0
1159847197 0 0 0 0 0 0
1159848836 0 0 0 0 0 0
1159850474 0 0 0 0 0 0
1159852113 0 0 0 0 0 0
1159853751 0 0 0 0 0 0
1159855389 0 0 0 0 0 0
1159857028 0 0 0 0 0 0
1159858666 0 0 0 0 0 0
1159860305 0 0 0 0 0 0
1159861943 0 0 0 0 0 0
1159863581 0 0 0 0 0 0
1159865220 0 0 0 0 0 0
1159866858 1 0 0 0 0 0
1159868497 0 0 0 0 0 0
1159870135 0 0 0 0 0 0
1159871773 0 0 0 0 0 0
1159873412 0 0 0 0 0 0
1159875050 0 0 0 0 0 0
1159876689 0 0 0 0 0 0
1159878327 0 0 0 0 0 0
1159879965 0 0 0 0 0 0
1159881604 0 0 0 0 0 0
1159883242 0 0 0 0 0 0
1159884881 0 0 0 0 0 0
1159886519 0 0 0 0 0 0
1159888157 0 0 0 0 0 0
1159889796 0 0 0 0 0 0
1159891434 0 0 0 0 0 0
1159893073 0 0 0 0 0 0
1159894711 0 0 0 0 0 0
1159896349 0 0 0 0 0 0
1159897988 0 0 0 0 0 0
1159899626 0 0 0 0 0 0
1159901265 0 0 0 0 0 0
1159902903 0 0 0 0 0 0
1159904541 0 0 0 0 0 0
1159906180 0 0 0 0 0 0
1159907818 0 0 0 0 0 0
1159909457 0 0 0 0 0 0
1159911095 0 0 0 0 0 0
1159912733 0 0 0 0 0 0
1159914372 0 0 0 0 0 0
1159916010 0 0 0 0 0 0
1159917649 0 0 0 0 0 0
1159919287 0 0 0 0 0 0
1159920925 0 0 0 0 0 0
1159922564 0 0 0 0 0 0
1159924202 0 0 0 0 0 0
1159925841 0 0 0 0 0 0
1159927479 0 0 0 0 0 0
1159929117 0 0 0 0 0 0
1159930756 0 0 0 0 0 0
1159932394 0 0 0 0 0 0
1159934033 0 0 0 0 0 0
1159935671 0 0 0 0 0 0
1159937309 0 0 0 0 0 0
1159938948 0 0 0 0 0 0
1159940586 0 0 0 0 0 0
1159942225 0 0 0 0 0 0
1159943863 0 0 0 0 0 0
1159945501 0 0 0 0 0 0
