 0 1 2 3 4 5
1159575586 0 0 0 0 0 0
1159577224 0 0 0 0 0 0
1159578862 0 0 0 0 0 0
1159580501 0 0 0 0 0 0
1159582139 0 0 0 0 0 0
1159583778 0 0 0 0 0 0
1159585416 0 0 0 0 0 0
1159587054 0 0 0 0 0 0
1159588693 0 0 0 0 0 0
1159590331 0 0 0 0 0 0
1159591970 0 0 0 0 0 1
1159593608 0 0 0 0 0 0
1159595246 0 0 0 0 0 0
1159596885 0 0 0 0 0 0
1159598523 0 0 0 0 0 0
1159600162 0 0 0 0 0 0
1159601800 0 0 0 0 0 0
1159603438 0 0 0 0 0 0
1159605077 0 0 0 0 0 0
1159606715 0 0 0 0 0 0
1159608354 0 0 0 0 0 0
1159609992 0 0 0 0 0 0
1159611630 0 0 0 0 0 0
1159613269 0 0 0 0 0 0
1159614907 0 0 0 0 0 0
1159616546 0 0 0 0 0 0
1159618184 0 0 0 0 0 0
1159621022 0 0 0 0 0 0
1159622661 0 0 0 0 0 0
1159624299 0 0 0 0 0 0
1159625938 0 0 0 0 0 0
1159627576 0 0 0 0 0 0
1159629214 0 0 0 0 0 0
1159630853 0 0 0 0 0 0
1159632491 0 0 0 0 0 0
1159634130 0 0 0 0 0 0
1159635768 0 0 0 0 0 1
1159637406 0 0 0 0 0 0
1159639045 0 0 0 0 0 0
1159640683 0 0 0 0 0 0
1159642322 0 0 0 0 0 0
1159643960 0 0 0 0 0 0
1159645598 0 0 0 0 0 0
1159647237 0 0 0 0 0 0
1159648875 0 0 0 0 0 0
1159650514 0 0 0 0 0 0
1159652152 0 0 0 0 1 0
1159653790 0 0 0 0 0 0
1159655429 0 0 0 0 0 0
1159657067 0 0 0 0 0 0
1159658706 0 0 0 0 0 0
1159660344 0 0 0 0 0 0
1159661982 0 0 0 0 0 0
1159663621 0 0 0 0 0 0
1159665259 0 0 0 0 0 0
1159666898 0 0 0 0 0 0
1159668536 0 0 0 0 0 0
1159670174 0 0 0 0 0 0
1159671813 0 0 0 0 0 0
1159673451 0 0 0 0 0 0
1159675090 0 0 0 0 0 1
1159676728 0 0 0 0 0 0
1159678366 0 0 0 0 0 0
1159680005 0 0 0 0 0 0
1159681643 0 0 0 0 0 0
1159683282 0 0 0 0 0 0
