 0 1 2 3 4 5
1143962325 0 0 0 0 0 0
1143963964 1 0 0 0 1 0
1143965602 0 0 0 0 0 0
1143967241 0 0 0 0 1 0
1143968879 0 0 0 0 0 0
1143970517 0 0 0 0 0 0
1143972156 0 0 0 0 0 0
1143973794 0 0 0 0 0 0
1143975433 0 0 0 0 0 0
1143977071 0 0 0 0 0 0
1143978709 0 0 0 0 0 0
1143980348 0 0 0 0 0 0
1143981986 0 0 0 0 1 0
1143983625 0 0 0 0 0 0
1143985263 0 0 0 0 0 0
1143986901 0 0 0 0 1 0
1143988540 0 0 0 0 1 0
1143990178 1 0 0 0 0 0
1143991817 0 0 0 0 1 1
1143993455 0 0 0 0 0 0
1143995093 0 0 0 0 0 0
1143996732 0 0 0 0 0 0
1143998370 0 0 0 0 0 0
1144000009 0 0 0 0 0 0
1144001647 1 0 0 0 1 0
1144003285 0 0 0 0 0 1
1144004924 0 0 0 0 0 0
1144006562 0 0 0 0 0 0
1144008201 0 0 0 0 1 1
1144009839 0 0 0 0 0 0
1144011477 0 0 0 0 0 0
1144013116 0 0 0 0 0 0
1144014754 0 0 0 0 0 0
1144016393 0 0 0 0 0 0
1144018031 0 0 0 0 1 0
1144019669 1 0 0 0 2 0
1144021308 0 0 0 0 0 0
1144022946 0 0 0 0 0 0
1144024585 0 0 0 0 2 0
1144026223 1 0 0 0 0 0
1144027861 0 0 0 0 0 0
1144029500 0 0 0 0 1 0
1144031138 1 0 0 0 0 0
1144032777 0 0 0 0 0 0
1144034415 0 0 0 0 0 0
1144036053 0 0 0 0 0 0
1144037692 0 0 0 0 0 0
1144039330 0 0 0 0 0 0
1144040969 0 0 0 1 0 0
1144042607 0 0 0 0 0 0
1144044245 0 0 0 0 2 0
1144045884 0 0 0 0 0 0
1144047522 0 0 0 0 0 0
1144049161 0 0 0 0 0 0
1144050799 0 0 0 0 0 0
1144052437 0 0 0 0 0 0
1144054076 0 0 0 0 0 0
1144055714 0 0 0 0 0 0
1144057353 0 0 0 0 1 0
1144058991 0 0 0 0 0 0
1144061829 0 0 0 0 0 0
1144063468 0 0 0 0 0 0
1144065106 1 0 0 0 1 0
1144066744 0 0 0 0 0 0
1144068383 0 0 0 0 1 0
1144070021 0 0 0 0 1 1
1144071660 0 0 0 0 1 0
1144073298 0 0 0 0 0 0
1144074936 0 0 0 0 1 0
1144076575 0 0 0 0 0 0
1144078213 0 0 0 0 0 1
1144079852 0 0 0 0 0 0
1144081490 0 0 0 0 0 0
1144083128 0 0 0 0 1 0
1144084767 0 0 1 0 2 0
1144086405 0 0 0 0 1 0
1144088044 0 0 0 0 0 0
1144089682 0 0 0 0 1 0
1144091320 0 0 0 0 0 0
1144092959 0 0 0 0 1 0
1144094597 0 0 0 0 0 0
1144096236 0 0 0 0 1 0
1144097874 0 0 0 0 0 0
1144099512 0 0 0 0 0 0
1144101151 0 0 0 0 0 0
1144102789 0 0 0 0 0 0
1144104428 0 0 0 0 0 0
1144106066 0 0 0 0 0 0
1144107704 0 0 0 0 0 0
1144109343 0 0 0 0 0 0
1144110981 0 0 0 0 0 0
1144112620 0 0 0 0 0 0
1144114258 0 0 0 0 1 0
1144115896 0 0 0 0 0 0
1144117535 0 0 0 0 0 0
1144119173 0 0 0 0 1 0
1144120812 0 0 0 0 1 0
1144122450 1 0 0 0 0 0
1144124088 0 0 0 0 1 0
1144125727 0 0 0 0 2 0
1144127365 0 0 0 0 2 0
1144129004 1 0 0 0 1 0
1144130642 0 0 0 0 1 0
1144132280 0 0 0 0 0 0
1144133919 0 0 0 0 0 0
1144135557 0 0 0 0 1 0
1144137196 0 0 0 0 0 0
1144138834 0 0 0 0 0 0
1144140472 0 0 0 0 0 0
1144142111 0 0 0 0 1 0
1144143749 0 0 0 0 0 0
1144145388 0 0 0 0 0 0
1144147026 0 0 0 0 0 0
1144148664 0 0 0 0 0 0
1144150303 0 0 0 0 0 0
1144151941 0 0 0 0 1 1
1144153580 0 0 0 0 2 0
1144155218 0 0 0 0 1 0
1144156856 1 0 0 0 0 0
1144158495 0 0 0 0 0 0
1144161333 0 0 0 0 0 0
1144162971 0 0 0 0 0 0
1144164610 0 0 0 0 0 0
1144166248 0 0 0 0 1 0
1144167887 0 0 0 0 0 0
1144169525 0 0 0 0 0 0
1144171163 0 0 0 0 0 0
1144172802 0 0 0 0 0 0
1144174440 0 0 0 0 0 0
1144176079 0 0 0 0 0 0
1144177717 0 0 0 0 0 0
1144179355 1 0 0 0 1 0
1144180994 0 0 0 0 0 1
1144182632 0 0 0 0 0 0
